sample_name_unique,Mapping_percent,percent_single_annotation,percent_multiple_codons,unique_anno,frac_max_score,min_mut_freq,iteration
0m_1,99.32416523349828,68.28859604845688,10.227772569945198,,,,
8m_1,99.37021207967099,68.5169706625695,10.243350005094399,,,,
32m_1,98.7402667566686,66.60510628094494,13.571769291400848,,,,
1h_1,99.31888229250809,68.24273052095465,9.34694119272756,,,,
4h_1,98.83333010442296,68.06867810909776,11.178912786093449,,,,
8h_1,98.84969293180292,68.19941794255345,9.39398540638576,,,,
16h_1,99.15328876853674,68.30072837970894,15.526772997859123,,,,
40h_1,98.64836954674628,66.0804439603425,14.152030975456562,,,,
0m_1,99.27304566114796,72.05368713527027,6.504465360651259,True,0.9,0.5,1
8m_1,99.32003691458574,72.24567230882064,6.53901079024737,True,0.9,0.5,1
32m_1,98.68359576201709,70.68953195746832,8.685764748520937,True,0.9,0.5,1
1h_1,99.29347272000064,71.99623094839986,5.965874760386415,True,0.9,0.5,1
4h_1,98.82771180037585,71.93762631856488,7.163916654741345,True,0.9,0.5,1
8h_1,98.79791035192976,72.25878164697184,5.991413106870274,True,0.9,0.5,1
16h_1,99.09551774481031,71.95037261214142,9.93511863783787,True,0.9,0.5,1
40h_1,98.56653969532105,70.29478698629774,9.06601276331634,True,0.9,0.5,1
0m_1,99.27304566114796,71.96449715881678,6.4942747971130945,True,0.9,0.5,2
8m_1,99.32003691458574,72.15555060392367,6.528185360229716,True,0.9,0.5,2
32m_1,98.68359576201709,70.60300866253873,8.671344199366006,True,0.9,0.5,2
1h_1,99.29347272000064,71.90089890143045,5.9560809129761365,True,0.9,0.5,2
4h_1,98.82771180037585,71.84950962422494,7.152840807733098,True,0.9,0.5,2
8h_1,98.79791035192976,72.16611004625985,5.981453863806507,True,0.9,0.5,2
16h_1,99.09551774481031,71.87249087488155,9.920205113681728,True,0.9,0.5,2
40h_1,98.56653969532105,70.22635524033336,9.052220318393287,True,0.9,0.5,2
0m_1,99.27304566114796,71.96981789553139,6.4933729773309565,True,0.9,0.5,3
8m_1,99.32003691458574,72.16069268318206,6.527553876812019,True,0.9,0.5,3
32m_1,98.68359576201709,70.60798566622937,8.670578506490523,True,0.9,0.5,3
1h_1,99.29347272000064,71.90777039114573,5.955607017133705,True,0.9,0.5,3
4h_1,98.82771180037585,71.85656680107975,7.152154693316658,True,0.9,0.5,3
8h_1,98.79791035192976,72.17353727837519,5.980863061251877,True,0.9,0.5,3
16h_1,99.09551774481031,71.87625691633514,9.91930126373287,True,0.9,0.5,3
40h_1,98.56653969532105,70.22993597122684,9.051424600416956,True,0.9,0.5,3
0m_1,99.27295613475155,72.06782051605782,6.346562440254385,True,0.9,0.6,1
8m_1,99.31967852054942,72.27137285892519,6.370698341989198,True,0.9,0.6,1
32m_1,98.68359576201709,70.76380416639017,8.446358109453245,True,0.9,0.6,1
1h_1,99.29339429539412,72.13237500987285,5.803096121949293,True,0.9,0.6,1
4h_1,98.82742119844238,72.0206619063255,6.9696687527873475,True,0.9,0.6,1
8h_1,98.79791035192976,72.34039679987576,5.831474415295372,True,0.9,0.6,1
16h_1,99.094920628286,72.13233045555819,9.65543525909768,True,0.9,0.6,1
40h_1,98.56653969532105,70.3949148316526,8.832867396251638,True,0.9,0.6,1
0m_1,99.27295613475155,71.98692720864882,6.336371867526163,True,0.9,0.6,2
8m_1,99.31967852054942,72.18711462457725,6.359872872908092,True,0.9,0.6,2
32m_1,98.68359576201709,70.68595872404939,8.431809944819067,True,0.9,0.6,2
1h_1,99.29339429539412,72.04344048653346,5.79330226680357,True,0.9,0.6,2
4h_1,98.82742119844238,71.9402882669189,6.958592873210584,True,0.9,0.6,2
